drug_name,source,status,cid,molecular_formula,molecular_weight,canonical_smiles,isomeric_smiles,inchi,inchi_key,adverse_reactions,failure_reason
'DYMISTA' NASAL SPRAY,clinicaltrials,COMPLETED,,,,,,,,,
"(TO DELIVER) AVOBENZONE 2%, HOMOSALATE 8%, OCTISALATE 4.5%, OCTOCRYLENE 7%",openfda_labels,approved,,,,,,,,,
"(TO DELIVER) AVOBENZONE 2%, OCTISALATE 4.5%, OCTOCRYLENE 7%",openfda_labels,approved,,,,,,,,,
"(TO DELIVER) AVOBENZONE 3%, HOMOSALATE 10%, OCTISALATE 5%, OCTOCRYLENE 5%",openfda_labels,approved,,,,,,,,,
"(TO DELIVER) AVOBENZONE 3%, HOMOSALATE 10%,OCTISALATE 5%, OCTOCRYLENE 5%",openfda_labels,approved,,,,,,,,,
"(TO DELIVER) AVOBENZONE 3%, HOMOSALATE 5%, OCTISALATE 10%, OCTOCRYLENE 5%",openfda_labels,approved,,,,,,,,,
".ALPHA.-TOCOPHEROL ACETATE, DL-, ASCORBIC ACID, CYANOCOBALAMIN, FOLIC ACID, NIACIN, PYRIDOXINE, RIBOFLAVIN, SODIUM FLUORIDE, THIAMINE MONONITRATE, VITAMIN A AND VITAMIN D",openfda_labels,approved,,,,,,,,,
0.3% benzydamine hydrochloride spray oromucosal solution,clinicaltrials,COMPLETED,,,,,,,,,
"1,4-BENZOQUINONE - ARNICA MONTANA - OXYTOCIN - BARIUM CARBONATE - BARIUM OXALOSUCCINATE - CORTICOTROPIN - LEAD - LEVOTHYROXINE - LUTRELIN - MALIC ACID - MELATONIN - NEUROTROPHIN-3 - NEUROTROPHIN-4 - PHENYLALANINE - PORK LIVER - PYRUVIC ACID - RINFABATE - SUS SCROFA ADRENAL GLAND - SUS SCROFA FRONTAL LOBE - SUS SCROFA HYPOTHALAMUS - THYROTROPIN ALFA - BRAIN-DERIVED NEUROTROPHIC FACTOR HUMAN -",openfda_labels,approved,,,,,,,,,
1000 Roses Daily Shade Facial SPF 18,openfda_labels,approved,,,,,,,,,
11,clinicaltrials,COMPLETED,,,,,,,,,
13-cis Retino Acid,clinicaltrials,COMPLETED,,,,,,,,,
16,clinicaltrials,COMPLETED,,,,,,,,,
18) L1 virus-like particle (VLP) or Quadrivalent human papillomavirus vaccine (QHPV),clinicaltrials,COMPLETED,,,,,,,,,
2 TU Tuberculin PPD RT 23 SSI,clinicaltrials,COMPLETED,,,,,,,,,
2-3 times a day,clinicaltrials,NOT_YET_RECRUITING,,,,,,,,,
2-3N(t)RTI,clinicaltrials,COMPLETED,,,,,,,,,
2L PEG-ELP and 10mg bisacodyl,clinicaltrials,COMPLETED,,,,,,,,,
3 in 1 First Aid Wound Care,openfda_labels,approved,,,448.1,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2.[Cl-],,,,,
30 day Acne Treatment Kit,openfda_labels,approved,,,138.12,C1=CC=C(C(=C1)C(=O)O)O,,,,,
30% Oxygen Group - Infants will start in 30% oxygen,clinicaltrials,NOT_YET_RECRUITING,,,,,,,,,
30% supramolecular salicylic acid,clinicaltrials,COMPLETED,,,,,,,,,
365 Chai Spice Hand Sanitizer Wipes,openfda_labels,approved,,,46.07,CCO,,,,,
365 Winterberry Hand Sanitizer Wipes,openfda_labels,approved,,,46.07,CCO,,,,,
3M SoluPrep S,openfda_labels,approved,,,941.8,CC(C)O.C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl.C(C(C(C(CO)O)O)O)C(=O)O.C(C(C(C(C(C(=O)O)O)O)O)O)O,,,,,
400 μg/kg Ivermectin + 400 mg Albendazole,clinicaltrials,COMPLETED,,,,,,,,,
5 Symptom Digestive Relief,openfda_labels,approved,,,362.09,C1=CC=C(C(=C1)C(=O)[O-])[O-].[OH-].[Bi+3],,,,,
5 mg Serlopitant Tablets,clinicaltrials,TERMINATED,,,,,,,,,No longer pursuing development of serlopitant
5-Hydroxytryptophan,clinicaltrials,RECRUITING,,,220.22,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,,,,,
5-Symptom Digestive Relief,openfda_labels,approved,,,362.09,C1=CC=C(C(=C1)C(=O)[O-])[O-].[OH-].[Bi+3],,,,,
5-fluorouracil,clinicaltrials,RECRUITING,,,130.08,C1=C(C(=O)NC(=O)N1)F,,,,,For slow accrual
5EWA5 Antibacterial Hand Sanitizer Wipes,openfda_labels,approved,,,354.0,CCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],,,,,
60% Oxygen Group - Infants will start in 60% oxygen,clinicaltrials,NOT_YET_RECRUITING,,,,,,,,,
68Ga-JH12,clinicaltrials,RECRUITING,,,,,,,,,
89Zr-panitumumab,clinicaltrials,WITHDRAWN,,,,,,,,,Business Decision
8HR Arthritis Pain,openfda_labels,approved,,,151.16,CC(=O)NC1=CC=C(C=C1)O,,,,,
A-26,openfda_labels,approved,,,,,,,,,
A-29,openfda_labels,approved,,,287.8,CC(C=C(C1=CC=CC=C1)C2=CC=CC=C2)N(C)C.Cl,,,,,
ABACAVIR,openfda_labels,approved,,,286.33,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO,,,,"Dialysis, Blood pressure inadequately controlled, Blood glucose increased, Chronic obstructive pulmonary disease, Superior vena cava syndrome, Treatment noncompliance, Premature delivery, Live birth, Exposure during pregnancy, Diabetes mellitus inadequate control; Acute hepatic failure, Renal failure acute, Respiratory arrest, Premature baby, Foetal exposure during pregnancy; Premature baby, Acute hepatic failure, Renal failure acute, Respiratory arrest, Cardiomegaly, Foetal growth restriction, Abdominal distension, Pseudocyst, Gastrointestinal disorder congenital, Neural tube defect, Foetal exposure during pregnancy; Anaemia, Toxicity to various agents, Foetal exposure during pregnancy; Dialysis, Treatment noncompliance, Blood pressure inadequately controlled, Blood glucose increased, Chronic obstructive pulmonary disease, Superior vena cava syndrome",
ABATACEPT,openfda_labels,approved,,,,,,,,"Grand mal convulsion, Postictal state; Blood pressure increased, Loss of consciousness, Pneumonia; Syncope, Vomiting, Nausea, Orthostatic hypotension; Off label use, Rash, Deafness; Surgery, Renal disorder, Oropharyngeal pain, Cataract, Bronchitis, Influenza like illness, Urinary tract infection",
ABELMOSCHUS,openfda_labels,approved,,,,,,,,,
ABELMOSCHUS MOSCHATUS SEED,openfda_labels,approved,,,,,,,,,
"ABIES CANADENSIS, AGARICUS MUSCARIUS, ALLIUM CEPA, ALLIUM SATIVUM, ALOE, ANTIMONIUM CRUDUM, ASAFOETIDA, BORAX, CANDIDA ALBICANS, CANDIDA PARAPSILOSIS, CARPINUS BETULUS, FLOS, IGNATIA AMARA, LACHESIS MUTUS, LYCOPODIUM CLAVATUM, MALUS PUMILA, FLOS, OLEA EUROPAEA, FLOS, PHOSPHORICUM ACIDUM, PHYTOLACCA DECANDRA, PULSATILLA, SABADILLA, STICTA PULMONARIA, SULPHUR AND THUJA OCCIDENTALIS",openfda_labels,approved,,,,,,,,,
ABOVE INTIMATE,openfda_labels,approved,,,,,,,,,
ABOVE INTIMATE LIQUIDSOAP,openfda_labels,approved,,,,,,,,,
ABT-089,clinicaltrials,COMPLETED,,,192.26,CC1=C(C=CC=N1)OCC2CCCN2,,,,,Trial discontinued based on the results of an interim futility analysis.
ABT-888,clinicaltrials,COMPLETED,,,317.21,CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N.Cl.Cl,,,,,
ACARBOSE,openfda_labels,approved,,,645.6,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)NC3C=C(C(C(C3O)O)O)CO,,,,Eye oedema,
ACER RADIX 6X,openfda_labels,approved,,,,,,,,,
