nct_id,title,official_title,status,why_stopped,phase,study_type,enrollment,conditions,drug_names,intervention_types,primary_outcomes,start_date,completion_date,sponsor,sponsor_type
NCT05573035,A Study to Investigate LYL845 in Adults With Solid Tumors,A Phase 1 Study to Assess the Safety and Efficacy of LYL845 in Adults With Relapsed and/or Refractory Metastatic or Locally Advanced Melanoma and Selected Solid Tumor Malignancies,TERMINATED,Pipeline Reprioritization,PHASE1,INTERVENTIONAL,39,"Melanoma, Non-small Cell Lung Cancer, Colorectal Cancer",LYL845,BIOLOGICAL,"Incidence of dose-limiting toxicities (DLTs), Incidence of treatment-emergent adverse events (TEAEs), Severity of treatment-emergent adverse events (TEAEs), Determine recommended Phase 2 Dose Range (RP2DR)",2022-12-19,2025-01-09,"Lyell Immunopharma, Inc.",INDUSTRY
NCT01124435,Study of the Combination Carboplatin Plus Celecoxib in Heavily Pre-treated Recurrent Ovarian Cancer Patients,Phase II Study of the Combination Carboplatin Plus Celecoxib in Heavily Pre-treated Recurrent Ovarian Cancer Patients,COMPLETED,,PHASE2,INTERVENTIONAL,45,Ovarian Neoplasms,Carboplatin plus Celecoxib,DRUG,Efficacy of the Combination Carboplatin plus Celecoxib in Heavily Pre-treated Recurrent Ovarian Cancer Patients,2003-10,2008-12,Catholic University of the Sacred Heart,OTHER
NCT02341235,Self-monitoring Activity: a Randomized Trial of Game-oriented Applications,Self-monitoring Activity: a Randomized Trial of Game-oriented Applications (SMARTGOAL),COMPLETED,,NA,INTERVENTIONAL,90,"Breast Cancer, Obesity",,"BEHAVIORAL, BEHAVIORAL",Change in Minutes Per Day of Physical Activity,2015-02,2021-06-30,"The University of Texas Medical Branch, Galveston",OTHER
NCT04663035,Ablation Plus Tislelizumab Versus Ablation Alone for Intrahepatic Recurrent Early Stage HCC,CT-guided Thermal Ablation Plus Tislelizumab Versus Ablation Alone for Intrahepatic Recurrent Early Stage Hepatocellular Carcinoma: a Randomized Controlled Phase II Clinical Trial,UNKNOWN,,PHASE2,INTERVENTIONAL,120,Recurrent Hepatocellular Carcinoma,Tislelizumab,"DRUG, PROCEDURE",1-year recurrence-free survival (RFS) rate,2020-12-21,2025-12-18,Ming Zhao,OTHER
NCT02714335,"The Correlation Between MAGE-A3, PRAME Polymorphism and Expression Levels of MAGE-A3 and PRAME in NSCLC Patients","An Observational Study to Determine the Correlation Between MAGE-A3, PRAME Polymorphism and Expression Levels of MAGE-A3 and PRAME in NSCLC Patients in Taiwan",COMPLETED,,,OBSERVATIONAL,200,"Carcinoma, Non-Small-Cell Lung",,,Number of patients with at least one MAGE-A3 gene single nucleotide polymorphism (SNP),2010-12,2013-11,Szu-Hua Pan,OTHER
NCT02124135,Eat Out With KP: A Pilot to Improve the Impact of Dietary Advice for Families,Eat Out With KP: A Pilot to Improve the Impact of Dietary Advice for Families,COMPLETED,,NA,INTERVENTIONAL,94,Obesity,,BEHAVIORAL,"Change in Fruit and Vegetable Intake, Change in Whole Grain Intake, Change in Saturated Fat Intake, Change in Added Sugars Intake",2014-05,2014-12,Kaiser Permanente,OTHER
NCT00418535,Clinical Study of Chemoradiation Followed by VIPD in Nasal Natural Killer (NK)/T-cell Lymphoma,"A Phase II Study of Concurrent Chemoradiation Followed by VIPD (Etoposide/Ifosfamide/Cisplatin/Dexamethasone) in Stage I, II Nasal NK/T-cell Lymphoma",COMPLETED,,PHASE2,INTERVENTIONAL,,"Lymphoma, T-Cell","Concurrent Radiotherapy (RT)/cisplatin, VIPD",DRUG,,2006-04,2009-07,Samsung Medical Center,OTHER
NCT00319735,Cetuximab and Radiation Therapy for Surgically Resectable Esophageal and Gastroesophageal (GE) Junction Carcinomas,A Pilot Study With Cetuximab and Radiation Therapy for Patients With Surgically Resectable Esophageal and GE Junction Carcinomas: Hoosier Oncology Group Study (GI05-92),COMPLETED,,PHASE2,INTERVENTIONAL,41,Esophageal Cancer,,"PROCEDURE, PROCEDURE, PROCEDURE",Complete Pathologic Response (pCR),2006-04,2009-01,"Nasser Hanna, M.D.",OTHER
NCT03217435,Corneal Epithelial Allograft From Living-related Donor for LSCD,A Non-randomized Controlled Clinical Trial of Epithelial Allograft Transplantation From Living-related Donors for the Treatment of Limbal Stem Cell Deficiency,COMPLETED,,NA,INTERVENTIONAL,20,Limbal Stem Cell Deficiency,,"PROCEDURE, PROCEDURE, DEVICE, DEVICE","Restoration of corneal surface in the recipient, Restoration of corneal surface in the donor",2017-07-27,2019-11-13,Chunxiao Wang,OTHER
NCT00675935,Falls - Tailoring Interventions for Patient Safety,Translating Fall Risk Status Into Interventions to Prevent Patient Falls: Falls TIPS (Tailoring Interventions for Patient Safety),COMPLETED,,NA,INTERVENTIONAL,10264,Patient Falls,,OTHER,The outcome measure will be rate of patients falls per 1000 patient days,2007-09,2009-08,Brigham and Women's Hospital,OTHER
NCT05241535,Study to Evaluate the Effect of a Single Oral Dose of MT-7117 on the QT/QTc Interval in Healthy Subjects,"A Phase 1, Randomized, Partial Double-Blind, Placebo- and Positive-Controlled, Three-way Crossover Study to Evaluate the Effect of MT-7117 on the QT/QTc Interval in Healthy Subjects",COMPLETED,,PHASE1,INTERVENTIONAL,29,Healthy Subjects,"MT-7117, moxifloxacin, Placebo","DRUG, DRUG, DRUG","Placebo-corrected, baseline-adjusted QTcF (corrected QT interval using the Fridericia formula) interval (ΔΔQTcF) at designed time points up to 24 hours post-dose",2022-01-12,2022-02-27,"Tanabe Pharma America, Inc.",INDUSTRY
NCT04468035,Early Cognitive Assessment and Evolutionary Monitoring of Patients With Severe ARDS on COVID-19 Pneumonia Requiring Mechanical Ventilation,Early Cognitive Assessment and Evolutionary Monitoring of Patients With Severe ARDS (Acute Respiratory Distress Syndrome) on SARS-CoV2 Viral Pneumonia Requiring Mechanical Ventilation,COMPLETED,,,OBSERVATIONAL,22,Covid19,,,Medium-term evolution between 3 and 6 months,2020-06-01,2022-05-23,Fondation Hôpital Saint-Joseph,OTHER
NCT00985335,Effectiveness of TheraNeem Lip Therapy for Herpes Simplex Labialis,Effectiveness of TheraNeem Lip Therapy of Common Symptoms of Herpes Simplex Labialis A Prospective Experimental Case Series (n=5),COMPLETED,,PHASE1,INTERVENTIONAL,5,Herpes Simplex,,OTHER,Cold Sore Symptom Scale,2009-08,2011-03,Southern California University of Health Sciences,OTHER
NCT03199235,Iron Fish in Dominican Republic (DR) Children,Cooking With Iron Ingots: Assessing Feasibility and Natural History of Iron-deficiency Anemia Among Preschool-aged Children in Resource-limited Settings,COMPLETED,,NA,INTERVENTIONAL,80,"Iron Deficiency Anemia, Anemia, Iron-deficiency",,"DEVICE, OTHER","Rates of refusal, Retention, Adherence to iron ingot use, Adherence to oral iron use, Natural history of hemoglobin among those subjects using iron ingot, Natural history of hemoglobin among those subjects using oral iron, Natural history hemoglobin: Iron ingot vs. Oral iron",2017-02-20,2018-10-16,Children's Hospital of Philadelphia,OTHER
NCT04157335,Efficacy and Safety Study of Benralizumab in Patient With Eosinophilic Chronic Rhinosinusitis With Nasal Polyps (ORCHID),"A Multicentre, Randomised, Double-Blind, Parallel-Group, Placebo-Controlled Phase 3 Efficacy and Safety Study of Benralizumab in Patients With Eosinophilic Chronic Rhinosinusitis With Nasal Polyps (ORCHID)",TERMINATED,The study has a double-blind period and an open-label period. The study did not meet its primary endpoints after the primary LSLV and the decision was taken to terminate the study early.,PHASE3,INTERVENTIONAL,293,"Nasal Polyposis, Eosinophilic Chronic Rhinosinusitis","Benralizumab 30 mg, Matched placebo","BIOLOGICAL, BIOLOGICAL","Nasal Polyp Burden, Patient-reported Nasal Blockage (NB)",2019-11-25,2025-04-07,AstraZeneca,INDUSTRY
NCT05903235,Mixed Reality and Virtual Reality Technology With Mirror Therapy for Stroke Rehabilitation,Technology-based and Activity-based Design of Mirror Therapy Principles: Two Mixed Reality and Virtual Reality Mirrored-hand Systems for Stroke Rehabilitation,RECRUITING,,NA,INTERVENTIONAL,45,"Stroke, Cerebrovascular Disorders, Central Nervous System Diseases",,"BEHAVIORAL, BEHAVIORAL, BEHAVIORAL","Change scores of Fugl-Meyer Assessment of the Upper Extremity, Change scores of Nottingham Extended Activities of Daily Living scale",2024-03-13,2026-07,Chang Gung Memorial Hospital,OTHER
NCT03170635,Refreshing Recess: Staff and Student Feedback Outcome Study (EMCRR),The Refreshing Recess Program for Promoting Student Participation and Enjoyment: An Outcome Study,COMPLETED,,NA,INTERVENTIONAL,485,"Interpersonal Relations, Occupational Therapy",,BEHAVIORAL,Changes in students' participation and enjoyment of recess play and socialization,2013-03-01,2014-03-01,Cleveland State University,OTHER
NCT06137235,"Effects of an Infant Formula and follow-on Formula Containing Bio-active Ingredients on Growth, Tolerance and Infections","A Randomized, Controlled, Double-blind Parallel Group Trial to Study the Effects of an Infant Formula and a follow-on Formula Containing Bio-active Ingredients on Growth, Tolerance and Infections in Healthy Term Infants",ACTIVE_NOT_RECRUITING,,NA,INTERVENTIONAL,456,"Growth, Infections",,"OTHER, OTHER","weight, infection-related morbidity episodes, parent-reported",2023-12-18,2025-12,FrieslandCampina,INDUSTRY
NCT05779735,"Validation of Ultrasound ""Angle of Progression"" Measurement to Decrease the Cesarean Rate","Validation of Ultrasound ""Angle of Progression"" Measurement to Decrease the Cesarean Rate : a Randomized Comparative Multicenter Prospective Study.",RECRUITING,,NA,INTERVENTIONAL,182,Prolonged Second Stage of Labor,,DIAGNOSTIC_TEST,cesarean delivery rate,2023-09-13,2025-10-13,"Hospital St. Joseph, Marseille, France",OTHER
NCT00783835,Study to Evaluate the Efficacy and Quality of Life of Long-Acting Methylphenidate in Adults With Attention Deficit Hyperactivity Disorder (ADHD),A Multicenter Open Trial to Evaluate the Effectiveness and Quality of Life in Adults With Attention Deficit /Hyperactivity Disorder (ADHD) Treated With Long Acting Methylphenidate (CONCERTA),COMPLETED,,PHASE4,INTERVENTIONAL,60,Attention Deficit Hyperactivity Disorder,Long-Acting Methylphenidate,DRUG,"Change From Baseline in Adult Attention Deficit Hyperactivity Disorder (ADHD) Self-Report Scale (ASRS) Total Score at Week 4, Change From Baseline in Adult Attention Deficit Hyperactivity Disorder (ADHD) Self-Report Scale (ASRS) Total Score at Week 8, Change From Baseline in Adult Attention Deficit Hyperactivity Disorder (ADHD) Self-Report Scale (ASRS) Total Score at Week 12, Change From Baseline in Adult ADHD Quality of Life (AAQoL) Scale Score at Week 4, Change From Baseline in Adult ADHD Quality of Life (AAQoL) Scale Score at Week 12",2008-02,2008-10,Janssen-Cilag Farmaceutica Ltda.,INDUSTRY
