nct_id,title,official_title,status,why_stopped,phase,study_type,enrollment,conditions,drug_names,intervention_types,primary_outcomes,start_date,completion_date,sponsor,sponsor_type
NCT02713035,Behavioral Self-Help Intervention for Pediatric Atopic Dermatitis and Eczema Patients,Behavioral Self-Help Intervention for Pediatric Atopic Dermatitis and Eczema Patients,TERMINATED,moved to new institution,NA,INTERVENTIONAL,10,"Dermatitis, Atopic, Eczema",,BEHAVIORAL,"SCORAD - Scoring Atopic Dermatitis - change at follow-up 1-4 months later, Index of Itching Intensity and Scratching Activity - change at follow-up 1-4 months later, Acceptability and Feasibility Questionnaire- to assess at follow-up 1-4 months later",2016-03,2017-07,University of Mississippi Medical Center,OTHER
NCT03929640,Management Of Pain After Cesarean Trial,Management Of Pain After Cesarean Trial,TERMINATED,"Lead co-I left institution in 2020 and enrollment was suspended. Study was kept open in hopes of finding a replacement/meeting enrollment goal, but a new lead was not found. Study is now officially closed.",PHASE3,INTERVENTIONAL,49,"Pain, Postoperative, Opioid Use","Acetaminophen, Placebo, Ibuprofen","DRUG, DRUG, DRUG",Pain Score,2019-08-05,2020-03-26,Milton S. Hershey Medical Center,OTHER
NCT05066789,CHoice of Optimal Anti-Thrombotic Strategy in Patients Undergoing Implantation of Coronary Drug-Eluting Stents 4,Comparison of Polymer-Free Cobalt-Chromium Thin Drug-Coated Stents With Biodegradable Polymer Ultrathin Sirolimus-Eluting Stents and Prasugrel Monotherapy With Conventional 12-Month Dual Antiplatelet Therapy,TERMINATED,Ending early registration due to low registration status and lack of research,PHASE4,INTERVENTIONAL,100,Coronary Artery Disease,Duration of DAPT,"DEVICE, DRUG","Stent Comparison Study: target-lesion failure (TLF), Antiplatelet Comparison Study: net adverse clinical events (NACE)",2022-01-17,2024-03-22,Samsung Medical Center,OTHER
NCT02788591,Confocal Endomicroscopy for Non-Erosive Reflux Disease Detection,Confocal Endomicroscopy for Non-Erosive Reflux Disease Detection (CENERDD),TERMINATED,lack of accrual,NA,INTERVENTIONAL,5,"Non-erosive Reflux Disease, Gastroesophageal Reflux","Proton Pump Inhibitor (PPI) Therapy, Sucralfate","DRUG, DRUG",Evaluate non erosive reflux disease (NERD) Symptoms.,2015-08,2021-06,LCMC Health,OTHER
NCT00947791,Treatment Study of Bipolar Depression,Intravenous Ketamine in Treatment-Resistant Bipolar Depression,TERMINATED,Change in available resources for study procedures,PHASE4,INTERVENTIONAL,1,Bipolar Disorder,"ketamine, midazolam","DRUG, DRUG",Montgomery-Asberg Depression Rating Scale (MADRS),2009-07,2009-10,Icahn School of Medicine at Mount Sinai,OTHER
NCT01406197,Uterine Electrical Activity Before and After Progesterone Treatment for Preterm Labor,Uterine Abdominal Electromyography Measurements Before and After Progesterone Treatments for Preterm Labor,WITHDRAWN,Investigator left organization prior to study initiation,NA,INTERVENTIONAL,0,Preterm Labor,"Experimental: Vaginal progesterone, Experimental: Topical progesterone, Experimental: Intramuscular progesterone","DRUG, DRUG, DRUG",Inhibition of uterine electromyographic (EMG) activity by various formulations of progesterone.,2011-07,2013-10,"St. Joseph's Hospital and Medical Center, Phoenix",OTHER
NCT02428010,Twelve Transcatheter Mitral Valve Replacement (TMVR) Pilot Study,"Evaluation of Safety and Performance of the Twelve Transcatheter Mitral Valve Replacement System in Patients With Severe, Symptomatic Mitral Regurgitation",TERMINATED,Site has not reliably responded Medtronic team since the transition from sponsor Twelve. No data entry completed since February 2018. Last study subject passed final study visit window. No data is expected to be entered.,NA,INTERVENTIONAL,3,Mitral Valve Insufficiency,,DEVICE,Adverse Events,2014-09,2021-04,Medtronic Cardiovascular,INDUSTRY
NCT01842113,Quality of Life and Nutritional Improvements in Cirrhotic Patients,Quality of Life and Nutritional Improvements in Cirrhotic Patients Following Hepatic Encephalopathy Using Rifaximin.,TERMINATED,PI Initiated study - PI left facility,PHASE4,INTERVENTIONAL,4,"Liver Cirrhosis, Hepatic Encephalopathy, Portal Hypertension","Rifaximin, Lactulose, Lactulose Placebo, Rifaximin Placebo","DRUG, DRUG, DRUG, DRUG","Outcomes of Change in Quality of Life Assessment Between the Two Groups, Nutritional Improvement Between the Two Groups",2013-04,,Tampa General Hospital,OTHER
NCT02893982,High Dose Rate Brachyablation of Primary Liver Lesions,A Phase I Therapeutic Dose Escalation Study Using Percutaneous Image-Guided Navigation for High Dose Rate Brachyablation of Primary Liver Lesions,TERMINATED,Study was closed due to poor accrual,PHASE1,INTERVENTIONAL,1,Liver Cancer,,RADIATION,"dosimetric coverage of liver lesions, maximum tolerated dose",2017-11-09,2020-03-16,University of Texas Southwestern Medical Center,OTHER
NCT01519882,Sleep Efficiency Assessed by Polysomnography (PSG Sleep Lab Testing) in Advanced Parkinson's Disease,"A Multi-Centre, Randomized, Double-Blind, Placebo Controlled Study to Evaluate the Effects of Rotigotine on Sleep Efficiency in Patients With Advanced Parkinson's Disease.",TERMINATED,"Due to major recruitment issues, a decision was made to terminate this trial",PHASE4,INTERVENTIONAL,1,Advanced Idiopathic Parkinson's Disease,,"OTHER, OTHER",Percentage Change From Baseline in Sleep Efficiency Index (SEI) to Week 4 of the Maintenance Period,2012-03,2013-01,UCB Pharma SA,INDUSTRY
NCT05521880,Anchoring Sequential Intermittent Long Acting Antimicrobials With Medication for Opioid Use Disorder (MOUD) for Invasive Infections Related to Opioid Use,Anchoring Intermittent Long Acting Antimicrobials to Medication for Opioid Use Disorder Treatment to Facilitate Structured Transitions of Care for People Who Use Drugs Admitted to the Hospital With Invasive Infections,TERMINATED,The study was not able to enroll adequate participants within predetermined timelines,PHASE4,INTERVENTIONAL,2,"Substance Use Disorders, Infection, Soft Tissue, Bacteremia, Osteomyelitis Acute, Septic Arthritis",Oritavancin,DRUG,"Frequency of clinically assessed cure, completion (no need for further parenteral antimicrobial therapy) or transition to suppressive antimicrobial therapy at 12 weeks for patients discharged to home with long acting agents and MOUD",2024-07-15,2025-05-23,"University of Maryland, Baltimore",OTHER
