product_ndc,generic_name,brand_name,labeler_name,active_ingredients,dosage_form,route,product_type,marketing_category,application_number
81750-042,Kinfield Cloud Cover Mineral Body Sunscreen Broad Spectrum SPF 35,Kinfield Cloud Cover Mineral Body Sunscreen Broad Spectrum SPF 35,"Kinfield, Inc.",ZINC OXIDE (20 g/100g),LOTION,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
82009-103,pioglitazone hydrochloride,PIOGLITAZONE HYDROCHLORIDE,QUALLENT PHARMACEUTICALS HEALTH LLC,PIOGLITAZONE HYDROCHLORIDE (15 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA200268
82141-2357,Titanium Dioxide,toty Ilumina CC Creamy Compact Refill 1N,Chipican LLC,TITANIUM DIOXIDE (10.4 g/100g),CREAM,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
82429-313,"Adapalene and Benzoyl Peroxide Gel, 0.1%/2.5%","Adapalene and Benzoyl Peroxide Gel, 0.1%/2.5%",GABAR HEALTH SCIENCES CORP,ADAPALENE (1 mg/g); BENZOYL PEROXIDE (25 mg/g),GEL,TOPICAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA206164
82548-2420,Zinc Oxide,Tulip Dew SHIELD GLOW,"Bloomeffects, Inc.",ZINC OXIDE (14.7 g/100g),STICK,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
82711-103,"Xylitol, Calcium Lactate",Kids Oral Care Vanilla Flavor,TOOTHFILM INC.,CALCIUM LACTATE (.02 mg/20mg); XYLITOL (2 mg/20mg),SPRAY,DENTAL,HUMAN OTC DRUG,UNAPPROVED DRUG OTHER,
82804-080,bupropion hydrochloride,Bupropion Hydrochloride XL,Proficient Rx LP,BUPROPION HYDROCHLORIDE (150 mg/1),"TABLET, EXTENDED RELEASE",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA210015
82829-002,avacincaptad pegol,IZERVAY,"Astellas Pharma US, Inc.",AVACINCAPTAD PEGOL SODIUM (20 mg/mL),INJECTION,INTRAVITREAL,HUMAN PRESCRIPTION DRUG,NDA,NDA217225
82953-042,"Octocrylene,Octisalate",lip balm SPF15( CB400) 01,"Cosmuses Cosmetics (Ningbo) Co., Ltd.",OCTISALATE (4 g/100g); OCTOCRYLENE (8 g/100g),LIPSTICK,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
82969-2164,"Acid phos, Arum tryph, Balsamum peru, Causticum, Equisetum, Glycerinum, Helonias dio",Bestmade Natural Products BM164,Bestmade Natural Products,ARISAEMA TRIPHYLLUM ROOT (30 [hp_C]/30[hp_C]); BALSAM PERU (30 [hp_C]/30[hp_C]); CAUSTICUM (30 [hp_C]/30[hp_C]); CHAMAELIRIUM LUTEUM ROOT (30 [hp_C]/30[hp_C]); EQUISETUM HYEMALE WHOLE (30 [hp_C]/30[hp_C]); GLYCERIN (30 [hp_C]/30[hp_C]); PHOSPHORIC ACID (30 [hp_C]/30[hp_C]),LIQUID,ORAL,HUMAN OTC DRUG,UNAPPROVED HOMEOPATHIC,
0603-5336,Prednisone,Prednisone,"Endo USA, Inc.",PREDNISONE (2.5 mg/1),TABLET,ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA040581
0615-7825,Metoprolol succinate,Metoprolol succinate,"NCS HealthCare of KY, LLC dba Vangard Labs",METOPROLOL SUCCINATE (100 mg/1),"TABLET, EXTENDED RELEASE",ORAL,HUMAN PRESCRIPTION DRUG,ANDA,ANDA078889
83037-015,Menthol,DZUL ARTHRITIS PAIN RELIEF,"Caball Sales, Inc.","MENTHOL, UNSPECIFIED FORM (1.5 g/100g)",CREAM,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M017
83247-1321,Zinc Oxide,Iris and Romeo Weekend Skin,Iris and Romeo,ZINC OXIDE (132 mg/mL),LOTION,TOPICAL,HUMAN OTC DRUG,OTC MONOGRAPH DRUG,M020
