product_description,reason_for_recall,status,classification,recalling_firm,recall_initiation_date,voluntary_mandated,city,state
"Progesterone 100 mg/mL in Corn Oil Injection, 2 mL vials, Rx only, Essential Wellness PHARMACY, 4625 N. University, Peoria, IL 61614.",Lack of Assurance of Sterility:  A recall of all compounded sterile preparations within expiry is being initiated due to observations associated with poor sterile production practices resulting in a lack of sterility assurance for their finished drugs.,Terminated,Class II,"Kalman Health & Wellness, Inc. dba Essential Wellness Pharma",20150903,Voluntary: Firm initiated,Peoria,IL
"Assured Instant Hand Sanitizer Aloe & Moisturizers (Ethyl Alcohol 70% v/v) 8 fl oz / 237 mL bottle, Distributed By: Greenbrier International, Inc. 500 Volvo Parkway, Chesapeake, VA 23320. Made in Mexico.UPC 639277928610",CGMP Deviations: Next Advanced Antibacterial Hand Sanitizer was found to be below the label claim for ethanol content and contained methanol. Other products were recalled because they were manufactured in the same facility as the product found to contain methanol.,Ongoing,Class II,Albek De Mexico S.A. De C.V.,20200730,Voluntary: Firm initiated,San Juan Del Rio,N/A
"Semaglutide Injection, 10 mg/4 mL (2.5 mg/mL), 4mL Multidose Vial, For Subcutaneous Use, Rx Only, Mfd by: ProRx, 619 Jeffers Cir, Exton, PA 19341.  NDC:  84139-225-04",Lack of Assurance of Sterility,Ongoing,Class II,ProRx LLC,20251015,Voluntary: Firm initiated,Exton,PA
"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate Tablets ( Mixed Amphetamine Salts Product), 5 mg, 100 count bottles, Rx Only, Teva Pharmaceuticals USA, INC. North Wales, PA 19454, NDC 0555-0971-02",Some bottles may contain mixed strengths of the product.,Terminated,Class II,Teva Pharmaceuticals USA,20200522,Voluntary: Firm initiated,Parsippany,NJ
"No Drip Nasal Spray, Oxymetazoline HCl 0.05% Nasal Decongestant, 1 FL Oz (30 mL) per bottle, Distributed by SUPERVALU INC., Eden Prairie, MN 55344 USA. NDC 41163-703-10",CGMP Deviations: Products were manufactured with contaminated excipient that was recalled from the excipient supplier.,Terminated,Class II,Perrigo Company PLC,20211026,Voluntary: Firm initiated,Allegan,MI
"2 mcg/mL Fentanyl Citrate and 0.16% Bupivacaine HCl (Preservative Free) in 0.9% Sodium Chloride,	 100 mL in 150 mL Baxter Intravia Bag, Service Code 2K8102, Rx Only,  Compounded by PharMEDium Services, LLC, Memphis, TN 36141, NDC 61553-102-48",Presence of Particulate Matter: API contaminated with glass particulate was used to produce sterile injectable drugs.,Terminated,Class II,"Pharmedium Services, LLC",20160505,Voluntary: Firm initiated,Lake Forest,IL
"VIRACEPT (R) (nelfinavir mesylate) Tablets, 625 mg, 120-count bottle, Rx only, Manufactured by: Agouron Pharmaceuticals, Inc. A Pfizer Company,  Distributed by: ViV Healthcare Company, Research Triangle Park, NC 27709  NDC 63010-027-70",Labeling: Incorrect or missing lot and or Exp Date: The bottles were labeled with an incorrect expiry date 11/2016.  The correct expiry date is 09/2016.,Terminated,Class III,Pfizer Inc.,20140708,Voluntary: Firm initiated,New York,NY
"Little Moon Essentials, Crampy Belly Rub (Camphor 1.1%), Packaged as a) 4 FL OZ (118ML) glass jar, UPC Code 6 73673 88260 2, NDC 70722-260-04; b) 2 FL OZ (59ML) glass jar, UPC Code 6 73673 88204 6, NDC 70722-260-02, Little Moon Essentials LLC Dania Beach, Fl 33004",CGMP deviations,Ongoing,Class II,Little Moon Essentials LLC,20240620,Voluntary: Firm initiated,Dania Beach,FL
"Trimix QM10 Papaverine 30 mg/Phentolamine 4 mg/Atropine 1 mg/PGE 150 mcg/mL Injectable, Pharm D Solutions, Houston, Texas --- NDC 69699-1352-05",Lack of Assurance of Sterility,Terminated,Class II,"Pharm D Solutions, LLC",20180910,Voluntary: Firm initiated,Houston,TX
"Ifosfamide Injection 3g/60 mL, Single dose vial, Rx only, Sterile, For Intravenous Use, Refrigerate at 2-8 degrees celcius, Distributed by Pfizer Labs, Division of Pfizer Inc., New York, NY 10017, NDC 0069-4496-22",Temperature abuse: Certain vials of Ifosfamide IV products were not refrigerated at certain Amerisource Bergen Drug Corp distribution centers.,Terminated,Class II,AmeriSource Bergen,20130913,Voluntary: Firm initiated,Chesterbrook,PA
